year,month,zip_code,customer_type,monthly_usage,lat,lng,geometry
2015.0,6,37227.0,commercial,413.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,6,37027.0,commercial,1044568.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,6,37214.0,commercial,1614875.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,6,37143.0,commercial,24228.0,36.12259,-87.03587,POINT (-87.03587 36.12259)
2015.0,6,37205.0,commercial,868908.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,6,37209.0,commercial,27949619.0,36.149599,-86.874487,POINT (-86.874487 36.149599)
2015.0,6,37138.0,commercial,575251.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,6,37075.0,commercial,9818159.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,6,37115.0,commercial,10591322.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,6,37220.0,commercial,1975803.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,6,37228.0,commercial,5901631.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,6,37217.0,commercial,1520001.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,6,37210.0,commercial,29439411.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,6,37013.0,commercial,1391998.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,6,37208.0,commercial,1019373.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
2015.0,6,37206.0,commercial,3690239.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,6,37218.0,commercial,450678.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,6,37218.0,commercial,5364858.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,6,37243.0,commercial,102214.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,6,37213.0,commercial,160274.0,36.167552,-86.767564,POINT (-86.76756399999999 36.167552)
2015.0,6,37207.0,commercial,15958342.0,36.224945,-86.775061,POINT (-86.77506099999999 36.224945)
2015.0,6,37219.0,commercial,6587612.0,36.167467,-86.783669,POINT (-86.783669 36.167467)
2015.0,6,37214.0,commercial,29314217.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,6,37115.0,commercial,1749094.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,6,37212.0,commercial,1002756.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,6,37207.0,commercial,1683013.0,36.224945,-86.775061,POINT (-86.77506099999999 36.224945)
2015.0,6,37072.0,commercial,10261585.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,6,37082.0,commercial,965.0,36.08832,-87.117051,POINT (-87.117051 36.08832)
2015.0,6,37069.0,commercial,64760.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,6,37242.0,commercial,355200.0,36.165017,-86.782171,POINT (-86.78217100000001 36.165017)
2015.0,6,37013.0,commercial,14072595.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,6,37015.0,commercial,4739.0,36.29003,-87.070106,POINT (-87.070106 36.29003)
2015.0,6,37208.0,commercial,14905127.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
