,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10518,2017.0,6,COMMERCIAL,5539174.0,37228,"(36.193837, -86.803025)",36.193837,-86.80302,POINT (-86.80302 36.193837)
10519,2017.0,6,RESIDENTIAL,4933468.0,37076,"(36.175185, -86.5933)",36.175185,,POINT (nan 36.175185)
10520,2017.0,6,OUTDOOR LIGHTING,1971.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10521,2017.0,6,OUTDOOR LIGHTING,1405.0,37228,"(36.193837, -86.803025)",36.193837,-86.80302,POINT (-86.80302 36.193837)
10522,2017.0,6,COMMERCIAL,176680.0,37080,"(36.331509, -86.915843)",36.331509,-86.91584,POINT (-86.91584 36.331509)
10523,2017.0,6,RESIDENTIAL,539156.0,37015,"(36.29003, -87.070106)",87.070106,-87.07010,POINT (-87.0701 87.070106)
10524,2017.0,6,COMMERCIAL,1026852.0,37207,"(36.224945, -86.775061)",36.224945,-86.77506,POINT (-86.77506 36.224945)
10525,2017.0,6,RESIDENTIAL,5967621.0,37221,"(36.064367, -86.96029)",36.064367,-86.96029,POINT (-86.96029 36.064367)
10526,2017.0,6,COMMERCIAL,454090.0,37216,"(36.216134, -86.726204)",36.216134,-86.72620,POINT (-86.72620000000001 36.216134)
10527,2017.0,6,OUTDOOR LIGHTING,13561.0,37086,"(36.014912, -86.5643)",36.014912,,POINT (nan 36.014912)
10528,2017.0,6,OUTDOOR LIGHTING,3856.0,37210,"(36.140869, -86.738847)",36.140869,-86.73884,POINT (-86.73884 36.140869)
10529,2017.0,6,RESIDENTIAL,3883944.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10530,2017.0,6,RESIDENTIAL,48805.0,37201,"(36.164553, -86.776977)",36.164553,-86.77697,POINT (-86.77697000000001 36.164553)
10531,2017.0,6,COMMERCIAL,321600.0,37242,"(36.165017, -86.782171)",36.165017,-86.78217,POINT (-86.78216999999999 36.165017)
10532,2017.0,6,OUTDOOR LIGHTING,18463.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10533,2017.0,6,COMMERCIAL,5063.0,37069,"(35.985493, -86.899213)",35.985493,-86.89921,POINT (-86.89921 35.985493)
10534,2017.0,6,RESIDENTIAL,8025175.0,37075,"(36.323052, -86.60557)",36.323052,-86.60557,POINT (-86.60557 36.323052)
10535,2017.0,6,OUTDOOR LIGHTING,636.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
10536,2017.0,6,OUTDOOR LIGHTING,0.0,37189,"(36.279393, -86.826731)",36.279393,-86.82673,POINT (-86.82673 36.279393)
10537,2017.0,6,RESIDENTIAL,497759.0,37066,"(36.387698, -86.459057)",36.387698,-86.45905,POINT (-86.45905 36.387698)
10538,2017.0,6,COMMERCIAL,10437183.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10539,2017.0,6,OUTDOOR LIGHTING,7630.0,37215,"(36.091316, -86.827959)",36.091316,-86.82795,POINT (-86.82795 36.091316)
