,year,month,customer_type,monthly_usage(kWh),zip_code,geometry
6968,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1617351.0,37115,"(36.262567, -86.704171)"
6969,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,822829.0,37205,"(36.112469, -86.867263)"
6970,2012.0,5,OLMOLB METERED,40.0,37218,"(36.210699, -86.866798)"
6971,2012.0,5,OLMOLB METERED,28040.0,37211,"(36.069132, -86.724578)"
6972,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,100015.0,37243,"(36.166899, -86.77672)"
6973,2012.0,5,COMCOMM > 50 KW,6501073.0,37219,"(36.167467, -86.783669)"
6974,2012.0,5,OLMOLB METERED,3171.0,37205,"(36.112469, -86.867263)"
6975,2012.0,5,OLMOLB METERED,14393.0,37215,"(36.091316, -86.827959)"
6976,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,3137734.0,,
6977,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2702182.0,37210,"(36.140869, -86.738847)"
6978,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1091453.0,,
6979,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,101816.0,37213,"(36.167552, -86.767564)"
6980,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,23457.0,37082,"(36.08832, -87.117051)"
6981,2012.0,5,COMCOMM > 50 KW,945900.0,37229,"(36.166687, -86.779932)"
6982,2012.0,5,OLMOLB METERED,8200.0,37220,"(36.06788, -86.776955)"
6983,2012.0,4,SEASEAS > 50 KW,12000.0,,
6984,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,52043.0,37201,"(36.164553, -86.776977)"
6985,2012.0,5,SEASEAS > 50 KW,9280.0,37205,"(36.112469, -86.867263)"
6986,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,7517082.0,37027,"(36.00245, -86.778709)"
6987,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,159651.0,37135,"(35.946013, -86.661944)"
6988,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,8536.0,37073,"(36.42764, -86.812249)"
6989,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,63430.0,37015,"(36.29003, -87.070106)"
6990,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,5003074.0,,
6991,2012.0,5,OLMOLB METERED,51838.0,37212,"(36.133256, -86.801456)"
6992,2012.0,5,OLMOLB METERED,10058.0,37221,"(36.064367, -86.96029)"
6993,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,29864.0,37219,"(36.167467, -86.783669)"
6994,2012.0,5,COMCOMM > 50 KW,11242341.0,37027,"(36.00245, -86.778709)"
6995,2012.0,5,RESRESIDENTIAL                SRSRESID. SUPPL.,3695990.0,37138,"(36.239455, -86.611783)"
6996,2012.0,5,OLMOLB METERED,8920.0,37080,"(36.331509, -86.915843)"
6997,2012.0,5,COMCOMM > 50 KW,4947980.0,37228,"(36.193837, -86.803025)"
6998,2012.0,5,COMCOMM > 50 KW,15120328.0,37207,"(36.224945, -86.775061)"
6999,2012.0,5,COMCOMM =< 50 KW              COMCOMM 3-PHASE,911021.0,37206,"(36.18095, -86.739624)"
7000,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1160428.0,37215,"(36.091316, -86.827959)"
7001,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,21278.0,37082,"(36.08832, -87.117051)"
7002,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2556288.0,37210,"(36.140869, -86.738847)"
7003,2012.0,4,COMCOMM > 50 KW,27400.0,37202,"(36.158527, -86.782923)"
7004,2012.0,4,OLMOLB METERED,24267.0,37138,"(36.239455, -86.611783)"
7005,2012.0,4,OLMOLB METERED,120.0,37218,"(36.210699, -86.866798)"
7006,2012.0,3,COMCOMM > 50 KW,620000.0,,
7007,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,7184615.0,37211,"(36.069132, -86.724578)"
7008,2012.0,4,COMCOMM > 50 KW,5059850.0,37215,"(36.091316, -86.827959)"
7009,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,5621814.0,37072,"(36.350389, -86.731255)"
7010,2012.0,4,SEASEAS =< 50 KW,96.0,37086,"(36.014912, -86.5643)"
7011,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,3372777.0,37138,"(36.239455, -86.611783)"
7012,2012.0,4,SEASEAS > 50 KW,0.0,37212,"(36.133256, -86.801456)"
7013,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,970857.0,37208,"(36.176427, -86.805176)"
7014,2016.0,2,COMMERCIAL,12412867.0,37013,
7015,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,123592.0,37213,"(36.167552, -86.767564)"
7016,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,31081.0,37152,"(36.396526, -86.765833)"
7017,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1306.0,37082,"(36.08832, -87.117051)"
7018,2012.0,4,OLMOLB METERED,109510.0,37075,"(36.323052, -86.60557)"
7019,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,2188740.0,37220,"(36.06788, -86.776955)"
7020,2012.0,4,OLMOLB METERED,29394.0,37027,"(36.00245, -86.778709)"
7021,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,196501.0,37228,"(36.193837, -86.803025)"
7022,2012.0,4,COMCOMM > 50 KW,66058863.0,37203,"(36.150195, -86.790206)"
7023,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1390327.0,37214,"(36.168995, -86.667231)"
7024,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,1419205.0,37210,"(36.140869, -86.738847)"
7025,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,785290.0,37203,"(36.150195, -86.790206)"
7026,2012.0,4,COMCOMM > 50 KW,26129883.0,37209,"(36.149599, -86.874487)"
7027,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1174900.0,37013,"(36.049335, -86.641832)"
7028,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,2366439.0,37086,"(36.014912, -86.5643)"
7029,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,4084022.0,37209,"(36.149599, -86.874487)"
7030,2012.0,4,OLMOLB METERED,14540.0,37204,"(36.109305, -86.776748)"
7031,2012.0,4,COMCOMM > 50 KW,19564260.0,37086,"(36.014912, -86.5643)"
7032,2012.0,4,COMCOMM > 50 KW,6676507.0,37219,"(36.167467, -86.783669)"
7033,2012.0,4,COMCOMM > 50 KW,5291419.0,37218,"(36.210699, -86.866798)"
7034,2012.0,4,COMCOMM > 50 KW,10477925.0,37205,"(36.112469, -86.867263)"
7035,2012.0,4,OLMOLB METERED,33602.0,37208,"(36.176427, -86.805176)"
7036,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,2754019.0,37217,"(36.106646, -86.667608)"
7037,2012.0,4,OLMOLB METERED,600.0,37073,"(36.42764, -86.812249)"
7038,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,3173255.0,37206,"(36.18095, -86.739624)"
7039,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,483763.0,37138,"(36.239455, -86.611783)"
